Circuit,Original_Depth,Original_Gates,Original_CX,Custom_Depth,Custom_Gates,Custom_CX,Custom_Time,Qiskit_L0_Depth,Qiskit_L0_Gates,Qiskit_L0_CX,Qiskit_L0_Time,Qiskit_L1_Depth,Qiskit_L1_Gates,Qiskit_L1_CX,Qiskit_L1_Time,Qiskit_L2_Depth,Qiskit_L2_Gates,Qiskit_L2_CX,Qiskit_L2_Time,Qiskit_L3_Depth,Qiskit_L3_Gates,Qiskit_L3_CX,Qiskit_L3_Time
EfficientSU2_2Q_R1_linear,5,9,1,13,25,1,0.0030965805053710938,13,25,1,0.00847482681274414,11,21,1,0.0059092044830322266,11,21,1,0.00700688362121582,11,21,1,0.007866859436035156
EfficientSU2_3Q_R1_linear,6,14,2,14,38,2,0.002762317657470703,14,38,2,0.0034987926483154297,12,32,2,0.004747629165649414,12,32,2,0.006357431411743164,12,32,2,0.007355690002441406
Random_3Q_D5_S100,16,38,5,43,99,5,0.004816293716430664,54,104,11,0.0035958290100097656,34,66,8,0.006447315216064453,34,63,6,0.0127410888671875,34,63,6,0.009640216827392578
