Circuit,Num_Qubits,Original_Depth,Original_Gates,Custom_Depth,Default_Depth,Depth_Improvement,Custom_Error_Rate,Default_Error_Rate,Error_Improvement,Custom_Memory_Est_MB,Default_Memory_Est_MB,Custom_Gates,Default_Gates,Gates_Improvement,Custom_Time,Default_Time,Time_Ratio
random_circuit_1_2q_6d,2,19,32,40,40,0,0.28900000000000003,0.28900000000000003,0.0,1.1796319091051587e+76,1.1796319091051587e+76,69,69,0,0.009919166564941406,0.006418943405151367,1.5452958437024107
random_circuit_2_2q_5d,2,16,27,34,34,0,0.248,0.248,0.0,8.944938893582676e+75,8.944938893582676e+75,58,58,0,0.007153987884521484,0.00667119026184082,1.072370537150209
random_circuit_3_3q_7d,3,22,52,60,60,0,0.428,0.428,0.0,2.5257149464889597e+76,2.5257149464889597e+76,108,108,0,0.017286062240600586,0.0167086124420166,1.0345600091322897
random_circuit_4_2q_4d,2,13,22,28,28,0,0.203,0.203,0.0,6.165928751887087e+75,6.165928751887087e+75,43,43,0,0.008653402328491211,0.007149457931518555,1.2103578217227464
random_circuit_5_2q_5d,2,16,27,34,34,0,0.25,0.25,0.0,9.190997083211973e+75,9.190997083211973e+75,60,60,0,0.007975101470947266,0.009538888931274414,0.836061886075633
random_circuit_6_2q_7d,2,22,37,46,46,0,0.326,0.326,0.0,1.445953714350986e+76,1.445953714350986e+76,76,76,0,0.008047103881835938,0.006701946258544922,1.2007114905727498
