Circuit Name,Qubits,Custom Depth,Default Depth,Depth Δ,Custom Error,Default Error,Error Δ,Custom Mem (MB),Default Mem (MB)
random_circuit_1_2q_6d,2,40,40,0,0.289,0.289,0.0,1.1796319091051585e+76,1.1796319091051585e+76
random_circuit_2_2q_5d,2,34,34,0,0.248,0.248,0.0,8.944938893582676e+75,8.944938893582676e+75
random_circuit_3_3q_7d,3,60,60,0,0.428,0.428,0.0,2.52571494648896e+76,2.52571494648896e+76
random_circuit_4_2q_4d,2,28,28,0,0.203,0.203,0.0,6.165928751887087e+75,6.165928751887087e+75
random_circuit_5_2q_5d,2,34,34,0,0.25,0.25,0.0,9.190997083211973e+75,9.190997083211973e+75
random_circuit_6_2q_7d,2,46,46,0,0.326,0.326,0.0,1.445953714350986e+76,1.445953714350986e+76
