Circuit,Num_Qubits,Original_Depth,Original_Gates,Custom_Depth,Default_Depth,Depth_Improvement,Custom_Error_Rate,Default_Error_Rate,Error_Improvement,Custom_Memory_Est_MB,Default_Memory_Est_MB,Custom_Gates,Default_Gates,Gates_Improvement,Custom_Time,Default_Time,Time_Ratio
random_circuit_1_2q_6d,2,19,32,40,40,0,0.28700000000000003,0.28700000000000003,0.0,1024,1024,67,67,0,0.008809328079223633,0.008292913436889648,1.0622717994422564
random_circuit_2_2q_5d,2,16,27,34,34,0,0.248,0.248,0.0,1024,1024,58,58,0,0.008786678314208984,0.00713658332824707,1.2312163832559382
random_circuit_3_3q_7d,3,22,52,44,44,0,0.322,0.322,0.0,1024,1024,82,82,0,0.009692668914794922,0.0088958740234375,1.0895690394511148
random_circuit_4_2q_4d,2,13,22,28,28,0,0.205,0.205,0.0,1024,1024,45,45,0,0.007167816162109375,0.0064389705657958984,1.1131928759210574
random_circuit_5_2q_5d,2,16,27,34,34,0,0.248,0.248,0.0,1024,1024,58,58,0,0.006970405578613281,0.006107330322265625,1.1413179262960649
random_circuit_6_2q_7d,2,22,37,46,46,0,0.328,0.328,0.0,1024,1024,78,78,0,0.007376194000244141,0.006572246551513672,1.1223246027715301
