Circuit,Num_Qubits,Original_Depth,Original_Gates,Custom_Depth,Default_Depth,Depth_Improvement,Custom_Error_Rate,Default_Error_Rate,Error_Improvement,Custom_Memory_Est_MB,Default_Memory_Est_MB,Custom_Gates,Default_Gates,Gates_Improvement,Custom_Time,Default_Time,Time_Ratio
random_circuit_1_2q_6d,2,19,32,40,40,0,0.29100000000000004,0.29100000000000004,0.0,1.2085799314144877e+76,1.2085799314144877e+76,71,71,0,0.02566242218017578,0.0076143741607666016,3.370260199768294
random_circuit_2_2q_5d,2,16,27,34,34,0,0.248,0.248,0.0,8.944938893582676e+75,8.944938893582676e+75,58,58,0,0.00761723518371582,0.0061414241790771484,1.2403043596412904
random_circuit_3_3q_7d,3,22,52,50,50,0,0.361,0.361,0.0,1.827343908276396e+76,1.827343908276396e+76,91,91,0,0.0186922550201416,0.016977548599243164,1.1009984692946115
random_circuit_4_2q_4d,2,13,22,28,28,0,0.205,0.205,0.0,6.368564908052391e+75,6.368564908052391e+75,45,45,0,0.00716400146484375,0.005882740020751953,1.2178001134797762
random_circuit_5_2q_5d,2,16,27,34,34,0,0.248,0.248,0.0,8.944938893582676e+75,8.944938893582676e+75,58,58,0,0.00744175910949707,0.00671839714050293,1.1076688313992689
random_circuit_6_2q_7d,2,22,37,46,46,0,0.33,0.33,0.0,1.5125341656624427e+76,1.5125341656624427e+76,80,80,0,0.0078029632568359375,0.008063554763793945,0.9676828006268294
