Circuit,Num_Qubits,Original_Depth,Original_Gates,Custom_Depth,Default_Depth,Depth_Improvement,Custom_Error_Rate,Default_Error_Rate,Error_Improvement,Custom_Memory_Est_MB,Default_Memory_Est_MB,Custom_Gates,Default_Gates,Gates_Improvement,Custom_Time,Default_Time,Time_Ratio
random_circuit_1_2q_6d,2,19,32,40,40,0,0.28500000000000003,0.28500000000000003,0.0,1.1217358644865007e+76,1.1217358644865007e+76,65,65,0,0.024523496627807617,0.007944583892822266,3.0868195186363363
random_circuit_2_2q_5d,2,16,27,34,34,0,0.246,0.246,0.0,8.698880703953379e+75,8.698880703953379e+75,56,56,0,0.00788426399230957,0.006870746612548828,1.147511971684364
random_circuit_3_3q_7d,3,22,52,58,55,-3,0.41000000000000003,0.393,-0.017000000000000015,2.2796567568596625e+76,2.131298142524351e+76,100,98,-2,0.016184568405151367,0.01662421226501465,0.9735540034706786
random_circuit_4_2q_4d,2,13,22,28,28,0,0.207,0.207,0.0,6.571201064217694e+75,6.571201064217694e+75,47,47,0,0.007065296173095703,0.006050586700439453,1.1677043108203957
random_circuit_5_2q_5d,2,16,27,34,34,0,0.244,0.244,0.0,8.452822514324083e+75,8.452822514324083e+75,54,54,0,0.007299184799194336,0.007587909698486328,0.9619493495883868
random_circuit_6_2q_7d,2,22,37,46,46,0,0.328,0.328,0.0,1.4792439400067144e+76,1.4792439400067144e+76,78,78,0,0.00720977783203125,0.006287574768066406,1.146670711360534
