Circuit,Num_Qubits,Original_Depth,Original_Gates,Custom_Depth,Default_Depth,Depth_Improvement,Custom_Error_Rate,Default_Error_Rate,Error_Improvement,Custom_Gates,Default_Gates,Gates_Improvement,Custom_Time,Default_Time,Time_Ratio
random_circuit_1_2q_6d,2,19,32,40,40,0,0.23500000000000001,0.23500000000000001,0.0,71,71,0,0.011490821838378906,0.00925755500793457,1.2412372196039043
random_circuit_2_2q_5d,2,16,27,34,34,0,0.19699999999999998,0.19699999999999998,0.0,54,54,0,0.008223533630371094,0.0077266693115234375,1.0643051098494198
random_circuit_3_3q_7d,3,22,52,52,52,0,0.31000000000000005,0.31000000000000005,0.0,96,96,0,0.017329931259155273,0.01614093780517578,1.0736632200886262
random_circuit_4_2q_4d,2,13,22,28,28,0,0.16899999999999998,0.16899999999999998,0.0,47,47,0,0.008332490921020508,0.007050752639770508,1.1817874412470835
random_circuit_5_2q_5d,2,16,27,34,34,0,0.19899999999999998,0.19899999999999998,0.0,56,56,0,0.007668972015380859,0.007172107696533203,1.0692773086895817
random_circuit_6_2q_7d,2,22,37,46,46,0,0.261,0.261,0.0,76,76,0,0.009130239486694336,0.007950305938720703,1.1484136028309242
