Circuit Name,Qubits,Custom Depth,Default Depth,Depth Δ,Custom Error,Default Error,Error Δ,Custom Mem (MB),Default Mem (MB)
random_circuit_1_2q_6d,2,40,40,0,0.285,0.285,0.0,1.1217358644865007e+76,1.1217358644865007e+76
random_circuit_2_2q_5d,2,34,34,0,0.246,0.246,0.0,8.698880703953379e+75,8.698880703953379e+75
random_circuit_3_3q_7d,3,58,55,-3,0.41,0.393,-0.017,2.2796567568596625e+76,2.131298142524351e+76
random_circuit_4_2q_4d,2,28,28,0,0.207,0.207,0.0,6.571201064217694e+75,6.571201064217694e+75
random_circuit_5_2q_5d,2,34,34,0,0.244,0.244,0.0,8.452822514324083e+75,8.452822514324083e+75
random_circuit_6_2q_7d,2,46,46,0,0.328,0.328,0.0,1.4792439400067144e+76,1.4792439400067144e+76
