Circuit,Num_Qubits,Original_Depth,Original_Gates,Custom_Depth,Default_Depth,Depth_Improvement,Custom_Error_Rate,Default_Error_Rate,Error_Improvement,Custom_Memory_Est_MB,Default_Memory_Est_MB,Custom_Gates,Default_Gates,Gates_Improvement,Custom_Time,Default_Time,Time_Ratio
random_circuit_1_2q_6d,2,19,32,40,40,0,0.28700000000000003,0.28700000000000003,0.0,1024,1024,67,67,0,0.008744955062866211,0.006771564483642578,1.2914231392155482
random_circuit_2_2q_5d,2,16,27,34,34,0,0.246,0.246,0.0,1024,1024,56,56,0,0.0072002410888671875,0.006433010101318359,1.1192646949818397
random_circuit_3_3q_7d,3,22,52,49,52,3,0.358,0.375,0.017000000000000015,1024,1024,93,95,2,0.017528533935546875,0.01683664321899414,1.0410943385539098
random_circuit_4_2q_4d,2,13,22,28,28,0,0.203,0.203,0.0,1024,1024,43,43,0,0.007978439331054688,0.0065305233001708984,1.2217151619144975
random_circuit_5_2q_5d,2,16,27,34,34,0,0.25,0.25,0.0,1024,1024,60,60,0,0.00719451904296875,0.007081031799316406,1.016026936026936
random_circuit_6_2q_7d,2,22,37,46,46,0,0.324,0.324,0.0,1024,1024,74,74,0,0.007584571838378906,0.0065958499908447266,1.1499005964214712
