Circuit,Num_Qubits,Original_Depth,Original_Gates,Custom_Depth,Default_Depth,Depth_Improvement,Custom_Error_Rate,Default_Error_Rate,Error_Improvement,Custom_Gates,Default_Gates,Custom_Time,Default_Time,Time_Ratio
random_circuit_1_4q_8d,4,24,76,53,61,8,0.265,0.305,0.03999999999999998,123,121,0.28774118423461914,0.017304420471191406,16.628189583907414
random_circuit_2_2q_11d,2,34,57,70,70,0,0.35000000000000003,0.35000000000000003,0.0,114,114,0.008172750473022461,0.007773399353027344,1.0513740645319594
random_circuit_3_4q_9d,4,28,85,61,61,0,0.305,0.305,0.0,119,119,0.017619848251342773,0.016720294952392578,1.053800085555397
random_circuit_4_2q_11d,2,34,57,70,70,0,0.35000000000000003,0.35000000000000003,0.0,116,116,0.007657766342163086,0.0067484378814697266,1.1347465112170994
random_circuit_5_3q_7d,3,22,52,51,51,0,0.255,0.255,0.0,88,88,0.01716446876525879,0.015332937240600586,1.1194507937988836
random_circuit_6_4q_7d,4,22,67,49,57,8,0.245,0.28500000000000003,0.040000000000000036,107,108,0.018578767776489258,0.0159149169921875,1.167380752636625
random_circuit_7_4q_9d,4,28,85,59,59,0,0.295,0.295,0.0,124,124,0.01702570915222168,0.01665472984313965,1.022274711903228
random_circuit_8_4q_10d,4,29,94,57,57,0,0.28500000000000003,0.28500000000000003,0.0,134,134,0.01904439926147461,0.016509532928466797,1.1535395546313145
