Circuit,Num_Qubits,Original_Depth,Original_Gates,Custom_Depth,Default_Depth,Depth_Improvement,Custom_Error_Rate,Default_Error_Rate,Error_Improvement,Custom_Gates,Default_Gates,Custom_Time,Default_Time,Time_Ratio
random_circuit_1_4q_8d,4,24,76,57,59,2,0.28500000000000003,0.295,0.009999999999999953,110,119,0.032952070236206055,0.01601886749267578,2.0570786449961305
random_circuit_2_2q_11d,2,34,57,70,70,0,0.35000000000000003,0.35000000000000003,0.0,112,112,0.008123397827148438,0.007117033004760742,1.1414022980804663
random_circuit_3_4q_9d,4,27,85,56,63,7,0.28,0.315,0.034999999999999976,123,125,0.022954940795898438,0.017281293869018555,1.3283114661368873
random_circuit_4_2q_11d,2,34,57,70,70,0,0.35000000000000003,0.35000000000000003,0.0,112,112,0.01171112060546875,0.010730743408203125,1.091361535726982
random_circuit_5_3q_7d,3,22,52,42,42,0,0.21,0.21,0.0,84,84,0.008781194686889648,0.008161783218383789,1.0758916834633248
random_circuit_6_4q_7d,4,21,67,40,40,0,0.2,0.2,0.0,92,92,0.008813858032226562,0.009039640426635742,0.9750230779374918
random_circuit_7_4q_9d,4,27,85,68,59,-9,0.34,0.295,-0.04500000000000004,138,115,0.01910710334777832,0.01862955093383789,1.0256341344800226
random_circuit_8_4q_10d,4,28,94,67,67,0,0.335,0.335,0.0,151,151,0.022603988647460938,0.020151376724243164,1.1217093976644859
