Circuit,Num_Qubits,Original_Depth,Original_Gates,Custom_Depth,Default_Depth,Depth_Improvement,Custom_Error_Rate,Default_Error_Rate,Error_Improvement,Custom_Gates,Default_Gates,Custom_Time,Default_Time,Time_Ratio
random_circuit_1_4q_8d,4,23,76,52,52,0,0.26,0.26,0.0,120,120,0.05545520782470703,0.017955303192138672,3.0885141415482673
random_circuit_2_2q_11d,2,34,57,70,70,0,0.35000000000000003,0.35000000000000003,0.0,118,118,0.007806301116943359,0.007969379425048828,0.979536887452881
random_circuit_3_4q_9d,4,27,85,67,71,4,0.335,0.355,0.019999999999999962,129,139,0.018694162368774414,0.0194244384765625,0.9624042615868028
random_circuit_4_2q_11d,2,34,57,70,70,0,0.35000000000000003,0.35000000000000003,0.0,118,118,0.008707523345947266,0.007303714752197266,1.1922047398315596
random_circuit_5_3q_7d,3,22,52,49,49,0,0.245,0.245,0.0,94,94,0.018524885177612305,0.017660140991210938,1.0489658710443892
random_circuit_6_4q_7d,4,22,67,52,52,0,0.26,0.26,0.0,101,101,0.018075942993164062,0.01714015007019043,1.054596541987175
random_circuit_7_4q_9d,4,27,85,68,68,0,0.34,0.34,0.0,144,144,0.019351482391357422,0.017750263214111328,1.0902081934184016
random_circuit_8_4q_10d,4,31,94,68,68,0,0.34,0.34,0.0,132,132,0.020003795623779297,0.017752885818481445,1.1267912061347551
