Circuit,Method,Depth,Gates,CX_Gates,Time,Depth_Improvement
EfficientSU2_9Q_R1_linear,Qiskit L3,35,129,0,0.08623552322387695,-23
EfficientSU2_9Q_R2_full,Custom,290,733,0,0.04704618453979492,-260
EfficientSU2_9Q_R2_full,Qiskit L0,467,1413,0,0.016633033752441406,-437
EfficientSU2_9Q_R2_full,Qiskit L1,371,1117,0,0.04348111152648926,-341
EfficientSU2_9Q_R2_full,Qiskit L2,376,912,0,0.04276132583618164,-346
EfficientSU2_9Q_R2_full,Qiskit L3,424,982,0,0.07719635963439941,-394
EfficientSU2_10Q_R1_linear,Custom,51,183,0,0.011373043060302734,-38
EfficientSU2_10Q_R1_linear,Qiskit L0,51,183,0,0.006926536560058594,-38
EfficientSU2_10Q_R1_linear,Qiskit L1,48,162,0,0.009084224700927734,-35
EfficientSU2_10Q_R1_linear,Qiskit L2,38,144,0,0.015356302261352539,-25
EfficientSU2_10Q_R1_linear,Qiskit L3,38,144,0,0.11319994926452637,-25
EfficientSU2_10Q_R2_full,Custom,297,894,0,0.06040310859680176,-264
EfficientSU2_10Q_R2_full,Qiskit L0,500,1701,0,0.020290851593017578,-467
EfficientSU2_10Q_R2_full,Qiskit L1,340,1358,0,0.0475010871887207,-307
EfficientSU2_10Q_R2_full,Qiskit L2,317,1213,0,0.0633080005645752,-284
EfficientSU2_10Q_R2_full,Qiskit L3,449,1207,0,0.09010148048400879,-416
EfficientSU2_11Q_R1_linear,Custom,55,202,0,0.012123346328735352,-41
EfficientSU2_11Q_R1_linear,Qiskit L0,55,202,0,0.006957292556762695,-41
EfficientSU2_11Q_R1_linear,Qiskit L1,52,179,0,0.01061868667602539,-38
EfficientSU2_11Q_R1_linear,Qiskit L2,41,159,0,0.01737070083618164,-27
EfficientSU2_11Q_R1_linear,Qiskit L3,41,159,0,0.16136956214904785,-27
EfficientSU2_11Q_R2_full,Custom,288,1072,0,0.07899951934814453,-252
EfficientSU2_11Q_R2_full,Qiskit L0,558,2093,0,0.022893905639648438,-522
EfficientSU2_11Q_R2_full,Qiskit L1,450,1562,0,0.046689748764038086,-414
EfficientSU2_11Q_R2_full,Qiskit L2,384,1503,0,0.07349348068237305,-348
EfficientSU2_11Q_R2_full,Qiskit L3,431,1449,0,0.12585759162902832,-395
EfficientSU2_12Q_R1_linear,Custom,59,221,0,0.012300252914428711,-44
EfficientSU2_12Q_R1_linear,Qiskit L0,59,221,0,0.007880210876464844,-44
EfficientSU2_12Q_R1_linear,Qiskit L1,56,196,0,0.010399103164672852,-41
EfficientSU2_12Q_R1_linear,Qiskit L2,44,174,0,0.016582965850830078,-29
EfficientSU2_12Q_R1_linear,Qiskit L3,44,174,0,0.21782326698303223,-29
EfficientSU2_12Q_R2_full,Custom,331,1264,0,0.10334181785583496,-292
EfficientSU2_12Q_R2_full,Qiskit L0,642,2553,0,0.029071331024169922,-603
EfficientSU2_12Q_R2_full,Qiskit L1,404,1994,0,0.0608823299407959,-365
EfficientSU2_12Q_R2_full,Qiskit L2,406,1766,0,0.09781193733215332,-367
EfficientSU2_12Q_R2_full,Qiskit L3,408,1777,0,0.358076810836792,-369
EfficientSU2_13Q_R1_linear,Custom,63,240,0,0.013485431671142578,-47
EfficientSU2_13Q_R1_linear,Qiskit L0,63,240,0,0.008111000061035156,-47
EfficientSU2_13Q_R1_linear,Qiskit L1,60,213,0,0.01142263412475586,-44
EfficientSU2_13Q_R1_linear,Qiskit L2,47,189,0,0.01800370216369629,-31
EfficientSU2_13Q_R1_linear,Qiskit L3,47,189,0,0.28972601890563965,-31
EfficientSU2_13Q_R2_full,Custom,397,1484,0,0.1433699131011963,-355
EfficientSU2_13Q_R2_full,Qiskit L0,614,2910,0,0.03162860870361328,-572
EfficientSU2_13Q_R2_full,Qiskit L1,458,2284,0,0.07056188583374023,-416
EfficientSU2_13Q_R2_full,Qiskit L2,485,2159,0,0.09928059577941895,-443
EfficientSU2_13Q_R2_full,Qiskit L3,473,2155,0,0.4611642360687256,-431
EfficientSU2_14Q_R1_linear,Custom,67,259,0,0.014081478118896484,-50
EfficientSU2_14Q_R1_linear,Qiskit L0,67,259,0,0.007597923278808594,-50
EfficientSU2_14Q_R1_linear,Qiskit L1,64,230,0,0.012877225875854492,-47
EfficientSU2_14Q_R1_linear,Qiskit L2,50,204,0,0.017462968826293945,-33
EfficientSU2_14Q_R1_linear,Qiskit L3,50,204,0,0.37244367599487305,-33
EfficientSU2_14Q_R2_full,Custom,377,1702,0,0.16506290435791016,-332
EfficientSU2_14Q_R2_full,Qiskit L0,828,3587,0,0.03916049003601074,-783
EfficientSU2_14Q_R2_full,Qiskit L1,565,2706,0,0.08354520797729492,-520
EfficientSU2_14Q_R2_full,Qiskit L2,525,2556,0,0.12088418006896973,-480
EfficientSU2_14Q_R2_full,Qiskit L3,510,2493,0,0.6109912395477295,-465
EfficientSU2_15Q_R1_linear,Custom,71,278,0,0.01711559295654297,-53
EfficientSU2_15Q_R1_linear,Qiskit L0,71,278,0,0.008207082748413086,-53
EfficientSU2_15Q_R1_linear,Qiskit L1,68,247,0,0.013107061386108398,-50
EfficientSU2_15Q_R1_linear,Qiskit L2,53,219,0,0.020030736923217773,-35
EfficientSU2_15Q_R1_linear,Qiskit L3,53,219,0,0.5227489471435547,-35
EfficientSU2_15Q_R2_full,Custom,437,1942,0,0.21289277076721191,-389
EfficientSU2_15Q_R2_full,Qiskit L0,837,4080,0,0.0517582893371582,-789
EfficientSU2_15Q_R2_full,Qiskit L1,588,3053,0,0.09853577613830566,-540
EfficientSU2_15Q_R2_full,Qiskit L2,567,2875,0,0.14780259132385254,-519
EfficientSU2_15Q_R2_full,Qiskit L3,538,2835,0,0.8757040500640869,-490
EfficientSU2_16Q_R1_linear,Custom,75,297,0,0.015297651290893555,-56
EfficientSU2_16Q_R1_linear,Qiskit L0,132,423,0,0.013597249984741211,-113
EfficientSU2_16Q_R1_linear,Qiskit L1,72,264,0,0.018552303314208984,-53
EfficientSU2_16Q_R1_linear,Qiskit L2,56,234,0,0.02068305015563965,-37
EfficientSU2_16Q_R1_linear,Qiskit L3,56,234,0,0.6921796798706055,-37
EfficientSU2_16Q_R2_full,Custom,474,2202,0,0.278714656829834,-423
EfficientSU2_16Q_R2_full,Qiskit L0,924,4848,0,0.06643128395080566,-873
EfficientSU2_16Q_R2_full,Qiskit L1,658,3549,0,0.1208639144897461,-607
EfficientSU2_16Q_R2_full,Qiskit L2,574,3181,0,0.17435312271118164,-523
